strain	phenotype
VC20138	1
VC20214	1
VC20267	1
VC20337	1
VC20448	1
VC20520	1
VC20628	1
VC20734	1
VC40367	1
VC40511	1
VC40653	1
VC10130	0
VC20007	0
VC20009	1
VC20055	0
VC20056	1
VC20073	0
VC20074	1
VC20091	1
VC20132	0
VC20269	0
VC20326	1
VC20406	0
VC20412	0
VC20436	0
VC20441	0
VC20443	0
VC20446	0
VC20450	1
VC20465	0
VC20494	0
VC20519	1
VC20536	0
VC20541	1
VC20605	1
VC20615	1
VC20618	0
VC20627	1
VC20630	1
VC20648	1
VC20768	1
VC40000	0
VC40196	1
VC40201	1
VC40257	1
VC40331	1
VC40589	0
VC40603	0
VC40611	1
VC40639	0
VC40697	1
VC40720	1
VC40749	0
VC40792	0
VC40819	1
VC40847	0
VC41030	0
VC10118	0
VC10129	0
VC20017	0
VC20024	0
VC20025	0
VC20029	0
VC20033	0
VC20040	0
VC20046	0
VC20047	0
VC20048	0
VC20059	0
VC20060	0
VC20068	0
VC20082	0
VC20097	0
VC20110	0
VC20111	0
VC20118	0
VC20122	0
VC20123	0
VC20124	0
VC20125	0
VC20126	0
VC20127	0
VC20128	0
VC20130	0
VC20131	0
VC20133	0
VC20134	0
VC20135	0
VC20136	0
VC20137	0
VC20139	0
VC20140	0
VC20141	0
VC20142	0
VC20143	0
VC20145	0
VC20146	0
VC20147	0
VC20148	0
VC20149	0
VC20150	0
VC20151	0
VC20152	0
VC20153	0
VC20154	0
VC20155	0
VC20156	0
VC20157	0
VC20158	0
VC20159	0
VC20160	0
VC20161	0
VC20162	0
VC20163	0
VC20164	0
VC20165	0
VC20169	0
VC20175	0
VC20197	0
VC20210	0
VC20213	0
VC20218	0
VC20222	0
VC20223	0
VC20228	0
VC20229	0
VC20230	0
VC20237	0
VC20238	0
VC20250	0
VC20256	0
VC20259	0
VC20312	0
VC20330	0
VC20345	0
VC20368	0
VC20380	0
VC20383	0
VC20397	0
VC20404	0
VC20405	0
VC20407	0
VC20408	0
VC20409	0
VC20410	0
VC20411	0
VC20413	0
VC20414	0
VC20415	0
VC20416	0
VC20417	0
VC20418	0
VC20419	0
VC20420	0
VC20421	0
VC20423	0
VC20424	0
VC20425	0
VC20426	0
VC20427	0
VC20428	0
VC20430	0
VC20432	0
VC20433	0
VC20434	0
VC20435	0
