-999	WindowSize
-999	OverlapSize
131178	NumberOfSNPs
480	NumberOfIndividuals
SET#	OFFSET	SET_ID	SET_SIZE
1	0	2L52.1	4
2	521	2RSSE.1	13
3	2212	4R79.1	7
4	3123	4R79.2	6
5	3904	6R55.2	2
6	4165	AC3.10	2
7	4426	AC3.2	2
8	4687	AC3.3	2
9	4948	AC3.4	3
10	5339	AC3.5	5
11	5990	AC3.6	5
12	6641	AC3.7	5
13	7292	AC3.8	7
14	8203	AC7.1	13
15	9894	AC7.2	36
16	14575	AC7.3	2
17	14836	AC7.35	1
18	14967	AC7.80	1
19	15098	AH10.1	12
20	16659	AH10.2	2
21	16920	AH10.3	2
22	17181	AH10.4	1
23	17312	AH6.1	10
24	18613	AH6.10	2
25	18874	AH6.11	2
26	19135	AH6.12	1
27	19266	AH6.14	3
28	19657	AH6.2	6
29	20438	AH6.3	3
30	20829	AH6.4	4
31	21350	AH6.5	6
32	22131	AH6.6	1
33	22262	AH6.8	3
34	22653	AH9.1	3
35	23044	AH9.2	5
36	23695	AH9.3	4
37	24216	AH9.4	9
38	25387	AH9.6	5
39	26038	AH9.7	2
40	26299	B0001.1	10
41	27600	B0001.10	1
42	27731	B0001.11	1
43	27862	B0001.2	5
44	28513	B0001.3	6
45	29294	B0001.4	4
46	29815	B0001.5	3
47	30206	B0001.6	12
48	31767	B0001.7	2
49	32028	B0001.8	6
50	32809	B0019.1	18
51	35150	B0019.2	19
52	37621	B0024.1	4
53	38142	B0024.10	6
54	38923	B0024.11	7
55	39834	B0024.12	3
56	40225	B0024.13	4
57	40746	B0024.14	16
58	42827	B0024.15	4
59	43348	B0024.2	3
60	43739	B0024.3	4
61	44260	B0024.4	1
62	44391	B0024.6	11
63	45822	B0024.8	17
64	48033	B0024.9	1
65	48164	B0025.1	12
66	49725	B0025.2	6
67	50506	B0025.4	1
68	50637	B0025.5	1
69	50768	B0034.1	4
70	51289	B0034.15	1
71	51420	B0034.3	23
72	54411	B0034.5	4
73	54932	B0035.1	4
74	55453	B0035.10	2
75	55714	B0035.11	6
76	56495	B0035.12	6
77	57276	B0035.13	5
78	57927	B0035.14	3
79	58318	B0035.15	1
80	58449	B0035.16	6
81	59230	B0035.17	1
82	59361	B0035.2	4
83	59882	B0035.3	1
84	60013	B0035.5	5
85	60664	B0035.6	7
86	61575	B0041.1	2
87	61836	B0041.11	1
88	61967	B0041.2	16
89	64048	B0041.4	2
90	64309	B0041.5	5
91	64960	B0041.6	2
92	65221	B0041.7	12
93	66782	B0041.8	1
94	66913	B0047.1	4
95	67434	B0047.2	4
96	67955	B0047.3	7
97	68866	B0047.4	2
98	69127	B0198.1	10
99	70428	B0198.2	7
100	71339	B0198.3	22
101	74200	B0198.7	2
102	74461	B0198.9	1
103	74592	B0205.1	8
104	75633	B0205.10	1
105	75764	B0205.11	3
106	76155	B0205.13	2
107	76416	B0205.2	2
108	76677	B0205.3	4
109	77198	B0205.4	10
110	78499	B0205.6	6
111	79280	B0205.7	5
112	79931	B0205.8	5
113	80582	B0205.9	3
114	80973	B0207.1	7
115	81884	B0207.11	3
116	82275	B0207.12	23
117	85266	B0207.15	1
118	85397	B0207.2	2
119	85658	B0207.3	7
120	86569	B0207.4	2
121	86830	B0207.5	41
122	92161	B0207.6	4
123	92682	B0207.7	3
124	93073	B0212.1	9
125	94244	B0212.2	6
126	95025	B0212.3	8
127	96066	B0212.4	11
128	97497	B0212.5	17
129	99708	B0213.10	5
130	100359	B0213.11	7
131	101270	B0213.12	2
132	101531	B0213.14	10
133	102832	B0213.15	6
134	103613	B0213.16	1
135	103744	B0213.17	1
136	103875	B0213.19	2
137	104136	B0213.2	1
138	104267	B0213.3	1
139	104398	B0213.5	2
140	104659	B0213.6	1
141	104790	B0213.7	4
142	105311	B0213.8	7
143	106222	B0213.9	5
144	106873	B0218.1	3
145	107264	B0218.2	5
146	107915	B0218.3	7
147	108826	B0218.5	3
148	109217	B0218.6	2
149	109478	B0218.7	5
150	110129	B0218.8	2
151	110390	B0222.1	5
152	111041	B0222.10	4
153	111562	B0222.11	2
154	111823	B0222.2	7
155	112734	B0222.3	11
156	114165	B0222.4	5
157	114816	B0222.5	5
158	115467	B0222.6	1
159	115598	B0222.7	7
160	116509	B0222.8	1
161	116640	B0222.9	10
162	117941	B0228.1	4
163	118462	B0228.4	76
164	128343	B0228.5	1
165	128474	B0228.6	2
166	128735	B0228.7	1
167	128866	B0228.8	2
168	129127	B0228.9	1
169	129258	B0238.1	3
170	129649	B0238.10	5
171	130300	B0238.11	3
172	130691	B0238.12	2
173	130952	B0238.13	9
174	132123	B0238.3	2
175	132384	B0238.5	1
176	132515	B0238.6	2
177	132776	B0238.7	8
178	133817	B0238.8	5
179	134468	B0238.9	6
180	135249	B0240.2	2
181	135510	B0240.3	19
182	137981	B0240.4	5
183	138632	B0240.6	1
184	138763	B0244.10	5
185	139414	B0244.11	2
186	139675	B0244.15	7
187	140586	B0244.2	17
188	142797	B0244.4	7
189	143708	B0244.5	4
190	144229	B0244.6	7
191	145140	B0244.7	1
192	145271	B0244.8	5
193	145922	B0244.9	2
194	146183	B0244.t2	1
195	146314	B0250.1	2
196	146575	B0250.10	1
197	146706	B0250.16	1
198	146837	B0250.18	1
199	146968	B0250.2	4
200	147489	B0250.5	10
201	148790	B0250.6	5
202	149441	B0250.9	11
203	150872	B0252.1	12
204	152433	B0252.2	6
205	153214	B0252.3	9
206	154385	B0252.4	2
207	154646	B0252.5	5
208	155297	B0252.8	2
209	155558	B0261.1	10
210	156859	B0261.2	27
211	160370	B0261.4	3
212	160761	B0261.5	1
213	160892	B0261.6	2
214	161153	B0261.7	4
215	161674	B0261.8	2
216	161935	B0261.9	1
217	162066	B0272.1	12
218	163627	B0272.2	3
219	164018	B0272.3	2
220	164279	B0272.4	1
221	164410	B0273.1	2
222	164671	B0273.101	1
223	164802	B0273.112	2
224	165063	B0273.2	2
225	165324	B0273.4	29
226	169095	B0273.47	1
227	169226	B0273.96	1
228	169357	B0280.1	4
229	169878	B0280.10	2
230	170139	B0280.11	6
231	170920	B0280.12	12
232	172481	B0280.13	8
233	173522	B0280.14	1
234	173653	B0280.15	1
235	173784	B0280.17	1
236	173915	B0280.19	1
237	174046	B0280.2	5
238	174697	B0280.4	4
239	175218	B0280.5	5
240	175869	B0280.7	1
241	176000	B0280.8	5
242	176651	B0280.9	7
243	177562	B0281.1	8
244	178603	B0281.3	8
245	179644	B0281.4	2
246	179905	B0281.5	1
247	180036	B0281.6	2
248	180297	B0281.8	3
249	180688	B0284.1	4
